Time,Ground Truth,Estimation
2020-04-25 09:37:00,65,107
2020-04-25 09:37:10,63,53
2020-04-25 09:37:20,68,85
2020-04-25 09:37:30,67,96
2020-04-25 09:37:40,68,64
2020-04-25 09:37:50,68,91
2020-04-25 09:38:00,72,120
2020-04-25 09:38:10,69,104
2020-04-25 09:38:20,64,64
2020-04-25 09:38:30,68,61
2020-04-25 09:38:40,70,61
2020-04-25 09:38:50,71,75
2020-04-25 09:39:00,69,53
2020-04-25 09:39:10,65,88
2020-04-25 09:39:20,64,91
2020-04-25 09:39:30,65,91
2020-04-25 09:39:40,66,69
2020-04-25 09:39:50,69,80
2020-04-25 09:40:00,68,75
2020-04-25 09:40:10,72,93
2020-04-25 09:40:20,69,107
2020-04-25 09:40:30,70,115
2020-04-25 09:40:40,68,117
2020-04-25 09:40:50,70,123
2020-04-25 09:41:00,62,117
2020-04-25 09:41:10,65,125
2020-04-25 09:41:20,67,123
2020-04-25 09:41:30,65,91
2020-04-25 09:41:40,65,59
2020-04-25 09:41:50,63,109
2020-04-25 09:42:00,63,128
2020-04-25 09:42:10,60,133
2020-04-25 09:42:20,66,91
2020-04-25 09:42:30,74,120
2020-04-25 09:42:40,74,133
2020-04-25 09:42:50,59,125
2020-04-25 09:43:00,51,45
2020-04-25 09:43:10,57,59
2020-04-25 09:43:20,62,88
2020-04-25 09:43:30,68,85
2020-04-25 09:43:40,63,85
2020-04-25 09:43:50,65,59
2020-04-25 09:44:00,63,59
2020-04-25 09:44:10,72,112
2020-04-25 09:44:20,74,107
2020-04-25 09:44:30,65,88
2020-04-25 09:44:40,54,52
2020-04-25 09:44:50,53,49
2020-04-25 09:45:00,63,88
2020-04-25 09:45:10,72,109
2020-04-25 09:45:20,70,99
2020-04-25 09:45:30,65,104
2020-04-25 09:45:40,67,67
2020-04-25 09:45:50,69,56
2020-04-25 09:46:00,65,61
2020-04-25 09:46:10,63,59
2020-04-25 09:46:20,58,59
2020-04-25 09:46:30,60,69
2020-04-25 09:46:40,64,96
2020-04-25 09:46:50,61,88
2020-04-25 09:47:00,59,80
2020-04-25 09:47:10,60,72
2020-04-25 09:47:20,59,93
2020-04-25 09:47:30,59,115
2020-04-25 09:47:40,60,65
2020-04-25 09:47:50,70,72
2020-04-25 09:48:00,76,61
2020-04-25 09:48:10,66,61
2020-04-25 09:48:20,64,96
2020-04-25 09:48:30,63,93
2020-04-25 09:48:40,71,117
2020-04-25 09:48:50,76,91
2020-04-25 09:49:00,77,69
2020-04-25 09:49:10,74,109
2020-04-25 09:49:20,69,125
2020-04-25 09:49:30,66,85
2020-04-25 09:49:40,63,80
2020-04-25 09:49:50,68,53
2020-04-25 09:50:00,67,53
2020-04-25 09:50:10,68,59
2020-04-25 09:50:20,62,53
2020-04-25 09:50:30,62,61
2020-04-25 09:50:40,61,79
2020-04-25 09:50:50,58,69
2020-04-25 09:51:00,61,61
2020-04-25 09:51:10,68,67
2020-04-25 09:51:20,72,83
2020-04-25 09:51:30,73,72
2020-04-25 09:51:40,63,52
2020-04-25 09:51:50,61,53
2020-04-25 09:52:00,57,53
2020-04-25 09:52:10,64,59
2020-04-25 09:52:20,66,64
2020-04-25 09:52:30,66,88
2020-04-25 09:52:40,60,91
2020-04-25 09:52:50,54,67
2020-04-25 09:53:00,59,61
2020-04-25 09:53:10,54,49
2020-04-25 09:53:20,66,61
2020-04-25 09:53:30,58,53
2020-04-25 09:53:40,60,56
2020-04-25 09:53:50,58,41
2020-04-25 09:54:00,62,51
2020-04-25 09:54:10,58,51
2020-04-25 09:54:20,63,59
2020-04-25 09:54:30,65,69
